,id,filter_type,like_count,comment_count,num_tag,a_raw_name,result,foodornot,raw_url
25,1530220941736256278_1819509241,0,2.085959711,2,0.871445816,1,0.606,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888591_1610629018968667_6166514353387339776_n.jpg?ig_cache_key=MTUzMDIyMDk0MTczNjI1NjI3OA%3D%3D.2&se=7
46,1530170467959435603_5376733539,0,-0.110655896,3,1.470260539,1,0.394,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812936_808842382613347_8816202445634928640_n.jpg?ig_cache_key=MTUzMDE3MDQ2Nzk1OTQzNTYwMw%3D%3D.2
63,1529490243965688176_5423380832,0,4.372170046,1,1.470260539,1,0.364,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18809320_120245455224470_6462402252500893696_n.jpg?ig_cache_key=MTUyOTQ5MDI0Mzk2NTY4ODE3Ng%3D%3D.2&se=7
77,1530301133674601575_4146366144,0,-0.300658512,0,0.97124827,0,0.273,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18723617_615125762017697_3428826435693838336_n.jpg?ig_cache_key=MTUzMDMwMTEzMzY3NDYwMTU3NQ%3D%3D.2
100,1530296810755676832_5398174049,0,-0.320740089,0,1.470260539,1,0.273,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812846_1951148578244255_5003162701090783232_n.jpg?ig_cache_key=MTUzMDI5NjI0MTc1NjUxMTY3NQ%3D%3D.2&se=7
131,1530273643837255710_4146366144,0,-0.280576934,4,0.97124827,0,0.273,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812935_428216054207835_1196581127070941184_n.jpg?ig_cache_key=MTUzMDI3MzY0MzgzNzI1NTcxMA%3D%3D.2&se=7
158,1530057044601533252_4146366144,0,-0.200250625,2,0.97124827,0,0.273,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879828_735269333312090_2413761119156961280_n.jpg?ig_cache_key=MTUzMDA1NzA0NDYwMTUzMzI1Mg%3D%3D.2&se=8
178,1529743110577274051_1467269062,0,0.715778246,3,1.370458085,0,0.242,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18948321_131541970752544_3860332402534514688_n.jpg?ig_cache_key=MTUyOTc0MzExMDU3NzI3NDA1MQ%3D%3D.2&se=7
203,1530282642531122660_5398174049,0,-0.317650615,0,1.570062993,1,0.242,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879073_132774813957921_3781392260843700224_n.jpg?ig_cache_key=MTUzMDI4MjU1MTE4NzM3MTMxNQ%3D%3D.2&se=7
221,1529862311731349175_5398174049,0,-0.26358483,4,1.869470354,1,0.242,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812328_626155540926844_1898151850050322432_n.jpg?ig_cache_key=MTUyOTg2MjE4MTI2MzQ0MTQ0MA%3D%3D.2&se=7
238,1530241617708810491_1088575182,0,-0.25431641,2,1.769667901,1,0.182,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879215_1935882163325540_723691075864100864_n.jpg?ig_cache_key=MTUzMDI0MTYxNzcwODgxMDQ5MQ%3D%3D.2
263,1530221212528815402_1088575182,0,-0.25895062,2,1.769667901,1,0.182,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879097_449467562084059_115353699060023296_n.jpg?ig_cache_key=MTUzMDIyMTIxMjUyODgxNTQwMg%3D%3D.2&se=7
287,1530181106250229446_1088575182,0,-0.220332202,4,1.769667901,1,0.182,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879459_1740200816278615_7417484579767844864_n.jpg?ig_cache_key=MTUzMDE4MTEwNjI1MDIyOTQ0Ng%3D%3D.2&se=7
301,1530165690513729676_1088575182,0,-0.280576934,0,1.769667901,1,0.182,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812548_482861798724960_6499867939418669056_n.jpg?ig_cache_key=MTUzMDE2NTY5MDUxMzcyOTY3Ng%3D%3D.2
315,1530148640365415540_1418269651,0,-0.316105879,2,0.671840909,1,0.182,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812683_371405179924212_7698629449587097600_n.jpg?ig_cache_key=MTUzMDE0ODY0MDM2NTQxNTU0MA%3D%3D.2&se=7
334,1530146391984637791_4870389047,0,-0.330008509,0,1.669865447,0,0.182,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812627_100335047239654_7787677938542968832_n.jpg?ig_cache_key=MTUzMDE0NjI4OTAwNjA3MjY0Ng%3D%3D.2
353,1529892289941277617_3943168378,0,-0.266674304,6,0.572038455,0,0.152,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888578_1829984847320026_3488517869698809856_n.jpg?ig_cache_key=MTUyOTg5MTk5MTY3NTk0NzYyNA%3D%3D.2&se=7
386,1530272396953684779_597645790,1,-0.350090086,1,1.570062993,1,0.121,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879580_304985046611296_5191496312645746688_n.jpg?ig_cache_key=MTUzMDI3MjM5Njk1MzY4NDc3OQ%3D%3D.2&se=7
401,1530207491291702007_1579648675,0,-0.316105879,3,0.472236001,1,0.121,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18809394_1385728051513817_4569774215724531712_n.jpg?ig_cache_key=MTUzMDIwNDUyMDE2NDEwMjY2Mw%3D%3D.2&se=7
429,1530174420320516350_3955431644,0,-0.299113775,12,0.97124827,0,0.121,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879147_1940639019506546_8472495115087118336_n.jpg?ig_cache_key=MTUzMDE3MjY1MzkwNTk5MzA0Nw%3D%3D.2&se=7
447,1530205286304092618_3173006534,0,2.770278075,0,-0.226381176,0,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18808836_1690314834595681_5243343276647383040_n.jpg?ig_cache_key=MTUzMDIwNDgzNDY2MTUzMTIxMg%3D%3D.2
482,1530315745070083064_4539890381,1,-0.339276929,0,0.671840909,1,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18889048_436945553338174_3849272299106598912_n.jpg?ig_cache_key=MTUzMDMxNTc0NTA3MDA4MzA2NA%3D%3D.2&se=7
514,1530311918354809426_5549814474,0,-0.328463772,0,0.272631093,0,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879002_1082363945198477_5096165029565169664_n.jpg?ig_cache_key=MTUzMDMxMDM3NjI4NTUwNDAzOQ%3D%3D.2
532,1530292775282536696_348939102,1,-0.302203248,5,1.071050724,1,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18809194_434485853573454_7339946250977935360_n.jpg?ig_cache_key=MTUzMDI5Mjc3NTI4MjUzNjY5Ng%3D%3D.2&se=7
549,1530247598275270482_1686989604,0,-0.292934828,0,1.470260539,1,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888552_1851682571749119_1040726023848591360_n.jpg?ig_cache_key=MTUzMDI0NzU5ODI3NTI3MDQ4Mg%3D%3D.2&se=7
575,1530245819026342864_1686989604,0,-0.306837458,0,1.470260539,1,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879337_230515437440134_6188811736234065920_n.jpg?ig_cache_key=MTUzMDI0NTgxOTAyNjM0Mjg2NA%3D%3D.2&se=7
601,1530242879480408639_1595164869,0,-0.305292722,3,0.771643362,1,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18809620_1893384424242752_2089889257547104256_n.jpg?ig_cache_key=MTUzMDI0Mjg3OTQ4MDQwODYzOQ%3D%3D.2&se=7
622,1530237014728596947_4192055991,1,-0.306837458,1,0.871445816,1,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812731_1882744328655154_6347677151969411072_n.jpg?ig_cache_key=MTUzMDIzNzAxNDcyODU5Njk0Nw%3D%3D.2&se=7
647,1530231338518424561_2957066330,0,-0.296024301,4,1.071050724,1,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888665_360661587669790_3917267180500025344_n.jpg?ig_cache_key=MTUzMDIzMTMzODUxODQyNDU2MQ%3D%3D.2&se=7
668,1530174351817604128_3262141629,0,-0.296024301,4,0.97124827,1,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879737_472672239740647_6185831780549918720_n.jpg?ig_cache_key=MTUzMDE3NDM1MTgxNzYwNDEyOA%3D%3D.2&se=7
694,1530047274876374890_622621465,0,-0.317650615,5,-0.126578722,0,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18947435_539422116448825_9211438719330942976_n.jpg?ig_cache_key=MTUzMDA0NzI3NDg3NjM3NDg5MA%3D%3D.2&se=7
720,1530302826612722807_3303121953,1,-0.35781377,1,0.871445816,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879331_1722432421382649_759064276190101504_n.jpg?ig_cache_key=MTUzMDMwMjgyNjYxMjcyMjgwNw%3D%3D.2&se=7
742,1530298725330342412_1535684346,0,-0.354724296,0,-0.825195899,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18949566_116560672265775_3485301162532405248_n.jpg?ig_cache_key=MTUzMDI5ODA4NzQ0MzgwNDQxMg%3D%3D.2&se=7
759,1530296588281679752_242799172,0,-0.356269033,4,-0.825195899,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18723497_1626777310698263_3095608793967362048_n.jpg?ig_cache_key=MTUzMDI5NjU4ODI4MTY3OTc1Mg%3D%3D.2&se=7
790,1530285254056434930_3899682277,0,-0.36708219,0,-0.825195899,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812880_1339052859482524_6451167739041021952_n.jpg?ig_cache_key=MTUzMDI4NDU4Mjk1MTE1NTAxOQ%3D%3D.2
814,1530278170682847234_1778497125,0,-0.333097983,1,-0.226381176,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879821_1332273250226069_700559829411823616_n.jpg?ig_cache_key=MTUzMDI3Njg5MTMwMjY4ODI2Mw%3D%3D.2&se=7
835,1530226289405974921_2208711752,1,-0.347000613,0,-0.725393445,1,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18889034_1673726642655055_6543716141011828736_n.jpg?ig_cache_key=MTUzMDIyNjI4OTQwNTk3NDkyMQ%3D%3D.2&se=7
