0,"#신촌맛집 #신촌찜닭 #신촌치즈를사랑한찜닭 #맛집 #음식스타그램 #음식 #닭 #맛이있다 #치즈 #치킨 #먹부림 #맛스타그램 #인스타푸드 #음식사진,"
1,"1호점 이대 하늬솔, 2호점 발산점에 이은 SICTAC 3호점이 대학로에 오픈하였습니다. 깔끔한 인테리어와 정갈한 메뉴를 만나실 수 있는 특별한 곳! 많은 관심과 사랑부탁드립니다. 😎\n_\n#이대맛집#SICTAC#발산맛집#강서구맛집#이대식탁#대학로맛집#혜화맛집#혜화역맛집#성대맛집#한성대맛집#식탁#맛스타그램#이대#연세대#신촌맛집#먹스타그램#이대핫플레이스#하늬솔#송년회#2017#pizzapics#Pizza#피자#사은회#대학축제#한성대맛집#성대맛집,"
2,"얼마 전에 먹었던 영계섬 또 먹고싶다💭💭\n.\n.\n.\n#이대맛집 #나무섬 #먹스타그램 #인스타그램 #신촌맛집 #먹방,"
3,"책거리👍\n#대포찜닭 #신촌맛집 #구름찜닭 #최예은,"
4,"#이대맛집 #신촌맛집 #샤브선생 #훠궈 #칭따오생맥주 #승요랑 오랜만에 훠궈!,"
5,"#신촌맛집 #신촌연어 #연어상회신촌 #신촌연어무한리필,"
6,"여기연어 질 괜찮아효?,"
7,"여기연어 질 괜찮아효?,"
8,"배고파 ...이건 단백질 ㅎ....#대포찜닭 #신촌맛집 #구름찜닭,"
9,"#정신승리자,"
10,"@sinsang58 먹어버림.... @k_rystalj ㅋㅋㅋㅋㅋㅋㅋㅋ영양가넘치는점심,"
11,"#정신승리자,"
12,"@sinsang58 먹어버림.... @k_rystalj ㅋㅋㅋㅋㅋㅋㅋㅋ영양가넘치는점심,"
13,"순밤의 드랍으로 끝난 학점내기😆\n.\n#서가앤쿡 #맛스타그램 #신촌맛집 #내기스타그램,"
14,"헐 요기 오또냐,"
15,"@yye0n.k__s2 맛이쪙😍윤기오빠랑가ㅎㅎㅎㅎㅎㅎ,"
16,"헐 요기 오또냐,"
17,"@yye0n.k__s2 맛이쪙😍윤기오빠랑가ㅎㅎㅎㅎㅎㅎ,"
18,"매일매일 메뉴가 바뀌는 곳\n시그니처 감자전에 감동을~\n음식하나하나 모두 맛나다!\n\n#서강대맛집 #신촌맛집\n#서강대요수정 #요수정,"
19,"#대포찜닭 #신촌맛집 #몬스터찜닭\n_\n#찜닭스타그램 #할인스타그램,"
20,"#대포찜닭 #신촌맛집 #몬스터찜닭,"
21,"맛있는거 많이 먹네 부럽 ㅠ,"
22,"맛있는거 많이 먹네 부럽 ㅠ,"
23,"더멜팅팟x캔메이커\n.\n.\n.\n.\n.\n#더멜팅팟익스프레스 #수제버거 #캔메이커 #연대맛집 #신촌맛집 #존맛탱,"
24,"<을밀대 본점>\n-\n거냉주문을 못했나 얼음이;;\n-\n내게는 가장 자주 가던 냉면집이 아닌가 생각함\n걸어서 갈 수 있던 거리라서 그랬나\n-\n하긴 근처에서 근 일년 넘게 살았었으니..\n그놈 참 잘 지내나 모르겠다\n-\n생각나서 학교 앞 신촌 한바퀴\n-\n.\n.\n.\n.\n.\n.\n.\n#먹방 #먹스타그램 #맛있다그램 #맛스타그램 #술스타그램 #와인스타그램 #ootd #selfie #일상 #daily #instadaily #foodporn #foodstagram #instafood #소고기맛집 #평양냉면 #을밀대 #연대 #신촌맛집\n-\n#추억팔이,"
25,"잘보고갑니다!!,"
26,"@soyoung0618 오우 ㅎㅎ 미분당 좋아하시나봐요,"
27,"잘보고갑니다!!,"
28,"@soyoung0618 오우 ㅎㅎ 미분당 좋아하시나봐요,"
